employment_id,year,less_hs,hs_no_college,some_college_no_degree,associates_degree,bachelors_advanced
1,2009,10371,34487,21016,13810,43531
2,2010,10115,34293,20838,12910,43832
3,2011,9967,33823,20712,12182,44822
4,2012,9923,33718,20936,13770,46288
5,2013,9798,33619,20914,14011,47531
6,2014,9852,33865,21159,14139,48848
7,2015,10098,33402,21573,14213,50792
8,2016,9884,33801,21668,14718,52374
9,2017,9668,34210,21440,14842,53971
10,2018,9701,34550,21128,15209,55996
11,2019,9976,36162,21592,15829,58889