Education Level,less_than_hs,hs_no_college,some_college_or_associates,bachelors_only,advanced_degree
Quarter/Year,,,,,
Qt109,7224,25722,25348,21399,11657
Qt110,6762,24601,24076,21714,11900
Qt111,6737,24941,24794,21474,12279
Qt112,6850,24865,25525,22281,12909
Qt113,6591,24768,25796,23764,13249
Qt114,6601,25220,25655,24289,13983
Qt115,7176,24918,26020,25056,14917
Qt116,7150,24807,27179,25288,15379
Qt117,6709,25084,27236,26094,16074
Qt118,6797,25525,27434,27602,16397
Qt119,6896,26344,27012,28254,17369
Qt120,6314,26062,26838,29131,17906
Qt209,7565,25846,25094,20678,11907
Qt210,7356,25885,25030,21069,11907
Qt211,7153,25478,25266,21810,12215
Qt212,7140,25234,25821,22732,12745
Qt213,7197,24950,25957,23141,13576
Qt214,7482,25369,26435,23411,14000
Qt215,7648,25392,26938,24626,14518
Qt216,7290,25656,26828,25539,15714
Qt217,7173,26242,27376,25822,16291
Qt218,7188,26378,27754,26928,16845
Qt219,7355,26569,27342,27825,17572
Qt220,5320,21937,24399,26676,17729
Qt309,7278,25492,24958,21030,11837
Qt310,7490,25392,24827,21539,12511
Qt311,7029,25298,25143,21750,12838
Qt312,7139,25628,25709,22783,12707
Qt313,7166,25392,25867,23815,13162
Qt314,6756,25599,26861,24469,14029
Qt315,7428,24846,27506,25010,15065
Qt316,7107,25518,27688,25471,15901
Qt317,7054,26342,27341,26876,16073
Qt318,7075,26300,27584,28146,16682
Qt319,7192,26784,27163,28487,17008
Qt320,5221,23817,25098,27775,18026
Qt409,7088,24446,25066,21977,11836
Qt410,7004,24920,25650,22048,12235
Qt411,7156,24910,25616,22299,12746
Qt412,6910,25228,26251,23064,13355
Qt413,6869,25064,26514,23705,13517
Qt414,6866,25930,26680,24207,13930
Qt415,6906,25726,26740,25478,15248
Qt416,6886,25919,27535,25712,15496
Qt417,7214,26376,27595,27032,15959
Qt418,6934,26746,27130,27963,17144
Qt419,6601,27328,27598,28684,17889