unemployment_id,year,less_hs,less_hs_un_rate,hs_no_college,hs_no_college_un_rate,some_college_no_degree,some_college_no_degree_un_rate,associates_degree,associates_degree_un_rate,bachelors_advanced,bachelors_advanced_un_rate
1,2009,1775,14.6,3699,9.7,1989,8.6,938,6.8,2103,4.6
2,2010,1765,14.9,3943,10.3,2120,9.2,973,7,2167,4.7
3,2011,1632,14.1,3521,9.4,1974,8.7,963,6.8,2024,4.3
4,2012,1405,12.4,3053,7.5,1750,7.7,905,6.2,1942,4
5,2013,1207,11,2740,7.1,1574,7,795,5.4,1820,3.7
6,2014,976,9,2167,6,1359,6,663,4.5,1599,3.2
7,2015,873,8,1920,5.4,1134,5,562,3.8,1341,2.6
8,2016,795,7.4,1847,5.2,1000,4.4,549,3.6,1349,2.7
9,2017,674,6.5,1664,4.6,899,4,515,3.1,1275,2.3
10,2018,576,5.6,1461,4.1,808,3.7,440,2.8,1222,2.1
11,2019,535,5.4,1324,3.7,709,3.3,429,2.7,1234,2.1